roi_name,metric_value
ACG_L,0.023939971079494624
AG_L,0.030868664427679146
AG_R,0.0085135573221937
FO_L,0.03847072820425788
FOrbital_L,0.0328466524551521
FP_L,0.027578787011902
HG_L,0.027187536572870773
HG_R,0.013454583061021576
IFG_op_L,0.05553627368693477
IFG_op_R,0.004353980257987675
IFG_tri_L,0.0364330307063047
LOC_sup_L,0.011125164258931149
LOC_sup_R,0.018249693457760577
MFG_L,0.03193030502449035
PCG_L,0.019695932110299304
PCing_L,0.014278108113910472
PT_L,0.0220578752149199
PT_R,-0.0019974697828678504
Precuneus_L,0.006823306997329801
Precuneus_R,0.006611590063030149
SFG_L,0.028605987342406852
TP_L,0.03677732502148545
TP_R,0.018088579546080574
aMTG_L,0.0066739219735895
aSMG_L,0.030289865299047078
aSTG_L,0.0632326264035825
pMTG_L,0.01240674433448475
pMTG_R,0.018720342115597078
pSMG_L,0.034923614214997754
pSTG_L,0.030958762076033274
pSTG_R,0.0189811709505678
