roi_name,metric_value
ACG_L,0.019666548126350075
AG_L,0.023190712775820875
AG_R,-0.003488249118523027
FO_L,0.025377736811721847
FOrbital_L,0.013574674096597475
FP_L,0.0139421825731675
HG_L,0.027092889828638923
HG_R,0.004439433756759249
IFG_op_L,0.026294337796955926
IFG_op_R,0.011238719290158624
IFG_tri_L,0.02087694044606945
LOC_sup_L,0.0033533684551066
LOC_sup_R,0.0058386681228252
MFG_L,0.035197190298215025
PCG_L,0.032998569431366254
PCing_L,0.0259509120666917
PT_L,0.01156222880893015
PT_R,0.009975512942233524
Precuneus_L,0.007226103699448975
Precuneus_R,0.012361177139764975
SFG_L,0.04194394073230107
TP_L,0.019874498772735925
TP_R,0.006383501906868451
aMTG_L,0.0057171143302834565
aSMG_L,0.0215953776061739
aSTG_L,0.017708972367555947
pMTG_L,0.0011554986261848499
pMTG_R,-0.00406949600634305
pSMG_L,0.021226973054656748
pSTG_L,0.011330204311803201
pSTG_R,-0.00395872308126855
