roi_name,metric_value
AG_L,0.0007154143160750246
AG_R,-0.007052476567884925
FOrb_L,0.011481610125418151
FP_L,0.004781477337976526
FrOpc_L,0.032331913060744025
HG_L,0.02490493604310825
HG_R,-0.004790588483722376
IFG_op_L,0.019998256447670303
IFG_op_R,0.00653368952794185
IFG_tr_L,0.011561435640797726
LOC_sup_L,-0.004452130582368949
LOC_sup_R,0.0010020344340802997
MFG_L,0.0023658857604945
PT_L,0.006085399553955925
PT_R,-0.011887739766323525
ParaCing_L,0.0129627109137697
Precun_L,-0.0009576143258572749
Precun_R,0.0041233848942137
SFG_L,-0.010062557287980224
TPole_L,0.012111476981421499
TPole_R,-0.00658632463334445
aCing_L,0.024282020931380474
aMTG_L,0.0043917016483077005
aSMG_L,-0.0008304941795134997
aSTG_L,0.0046519946889586
pCing_L,0.009992558134109274
pMTG_L,-0.003765337732091125
pMTG_R,-0.00044028443341187517
pSMG_L,0.008346119978003051
pSTG_L,-0.004778775618274774
pSTG_R,-0.0035875053416344754
