roi_name,metric_value
ACG_L,0.01336284832989115
AG_L,-0.0017750864725749244
AG_R,0.0032353224506571753
FO_L,0.012353325880131976
FOrbital_L,0.003046858056529325
FP_L,-0.00408305565089645
HG_L,0.0049296967190713
HG_R,0.01395627030128205
IFG_op_L,0.005262695180354875
IFG_op_R,0.005364345026346751
IFG_tri_L,0.010463677379486376
LOC_sup_L,-0.0038248768300403304
LOC_sup_R,0.005773517880030875
MFG_L,-0.007607382238075575
PCG_L,0.016835408900667575
PCing_L,0.0056404381316318
PT_L,-0.0014959488162608998
PT_R,0.0162044568816497
Precuneus_L,0.0032116338541754996
Precuneus_R,0.010516479969730125
SFG_L,-0.00932666323748145
TP_L,-0.005265729238706525
TP_R,0.010805819976130875
aMTG_L,-0.007245496828143575
aSMG_L,-0.0009630555922389246
aSTG_L,-0.00838568680613175
pMTG_L,-0.014024065055459174
pMTG_R,0.00813339322699015
pSMG_L,0.004497175238776276
pSTG_L,0.0021738424570337755
pSTG_R,0.02097568686815865
