roi_name,metric_value
AG_L,-0.0014470530825220745
AG_R,0.00217377240040965
FOrb_L,0.023161495514874675
FP_L,0.0056469475186974
FrOpc_L,0.015481162640222026
HG_L,-0.01065259280848495
HG_R,0.0072652009823057995
IFG_op_L,0.01109171147361805
IFG_op_R,0.0070967859578315255
IFG_tr_L,-0.0007562303412854748
LOC_sup_L,-0.0014684757020045
LOC_sup_R,0.0139149978390639
MFG_L,0.00619720529995725
PT_L,-0.0005494411083834009
PT_R,0.0057025248432691494
ParaCing_L,0.025780328990722898
Precun_L,0.0013900646518368396
Precun_R,0.004072349693841499
SFG_L,0.006780946945523375
TPole_L,0.021897338293027875
TPole_R,0.00544786745467205
aCing_L,0.024013451389930926
aMTG_L,-0.0036225757762697753
aSMG_L,-0.0035406669426424875
aSTG_L,0.022069696395405174
pCing_L,0.01462892942039035
pMTG_L,-0.008638079697167225
pMTG_R,-0.005325639433945875
pSMG_L,-0.000264082193460725
pSTG_L,-0.002639117187580001
pSTG_R,0.021786004336300374
