roi_name,metric_value
ACG_L,0.019609094735999574
AG_L,0.022998984651081848
AG_R,-0.0034260460539534
FO_L,0.025231079187999224
FOrbital_L,0.013466964762236501
FP_L,0.014012185091116125
HG_L,0.0272063229434074
HG_R,0.004672754063412899
IFG_op_L,0.026037370537728324
IFG_op_R,0.011261317790121825
IFG_tri_L,0.02084043324523175
LOC_sup_L,0.00330892017637125
LOC_sup_R,0.0058178209349841505
MFG_L,0.03508852554388803
PCG_L,0.0329592626470941
PCing_L,0.0259728471136374
PT_L,0.011337990984676753
PT_R,0.01015583609838775
Precuneus_L,0.007208515396607924
Precuneus_R,0.0123179525856183
SFG_L,0.041973211698985796
TP_L,0.019679319888659775
TP_R,0.00640073611851985
aMTG_L,0.005731298382580149
aSMG_L,0.021536539927923728
aSTG_L,0.017488864293691175
pMTG_L,0.0010504484146328997
pMTG_R,-0.0040014660745593
pSMG_L,0.0208436919341271
pSTG_L,0.011038656113431725
pSTG_R,-0.0037788212102541747
